,UF,CODIGO DO MUNICIPIO,NOME DO MUNICIPIO,ESPECTRO
310,BA,37460,MUQUÉM DO SÃO FRANCISCO,D
311,BA,38474,SALINAS DA MARGARIDA,E
312,BA,38814,SÃO FELIPE,D
313,BA,38610,SANTALUZ,D
314,BA,33065,ADUSTINA,D
315,BA,39900,SÍTIO DO QUINTO,D
316,BA,34312,CANDIBA,D
317,BA,36536,JAGUAQUARA,D
318,BA,37419,MUCURI,D
319,BA,36331,ITAPITANGA,D
320,BA,38512,SANTA BÁRBARA,D
321,BA,35637,IBITITÁ,D
322,BA,38890,SÃO SEBASTIÃO DO PASSÉ,D
323,BA,35149,FEIRA DA MATA,D
324,BA,33197,AMARGOSA,C
325,BA,30996,JOÃO DOURADO,D
326,BA,37010,MAIQUINIQUE,D
327,BA,39144,SÍTIO DO MATO,D
328,BA,33375,APORÁ,D
329,BA,30830,CAPIM GROSSO,E
330,BA,36765,LAGOA REAL,D
331,BA,39748,MADRE DE DEUS,E
332,BA,39810,PÉ DE SERRA,D
333,BA,35793,IPIAÚ,D
334,BA,39985,SOBRADINHO,D
335,BA,38334,RIBEIRA DO POMBAL,E
336,BA,37753,PARATINGA,D
337,BA,36617,JEQUIÉ,D
338,BA,37133,MARAGOGIPE,D
339,BA,34134,CAMAÇARI,D
340,BA,33073,ÁGUA FRIA,E
341,BA,34533,CHORROCHÓ,D
342,BA,38059,POJUCA,D
343,BA,33260,ANDORINHA,D
344,BA,39411,UBAÍRA,D
345,BA,35190,FLORESTA AZUL,D
346,BA,35610,IBITIARA,D
347,BA,38393,RIO DO PIRES,D
348,BA,33383,ARAÇÁS,D
349,BA,37931,PINDOBAÇU,D
350,BA,37095,MANOEL VITORINO,D
351,BA,36153,ITAMARI,D
352,BA,39845,QUIXABEIRA,D
353,BA,34975,CURAÇÁ,D
354,BA,35890,IRAQUARA,D
355,BA,36676,JITAÚNA,D
356,BA,38172,QUEIMADAS,D
357,BA,36757,LAFAIETE COUTINHO,D
358,BA,35114,ESPLANADA,D
359,BA,36374,ITARANTIM,D
360,BA,33510,BAIXA GRANDE,D
361,BA,33804,BONITO,D
362,BA,35130,EUCLIDES DA CUNHA,D
363,BA,37036,MAIRI,D
364,BA,36773,LAJE,D
365,BA,39276,TEODORO SAMPAIO,D
366,BA,36137,ITAMARAJU,D
367,BA,34290,CANDEIAS,D
368,BA,33090,ÉRICO CARDOSO,D
369,BA,36706,JUCURUÇU,D
370,BA,36110,ITAJUÍPE,D
371,BA,38318,RIBEIRA DO AMPARO,D
372,BA,38679,SANTANÓPOLIS,D
373,BA,39438,UBAITABA,E
374,BA,38555,SANTA CRUZ CABRÁLIA,D
375,BA,35572,IBIRAPUÃ,D
376,BA,33430,ARAMARI,D
377,BA,34053,CAFARNAUM,D
378,BA,37427,MULUNGU DO MORRO,D
379,BA,33677,BELMONTE,D
380,BA,34797,CORDEIROS,D
381,BA,38253,RIACHÃO DAS NEVES,E
382,BA,34118,CAMACÃ,D
383,BA,37699,PALMAS DE MONTE ALTO,D
384,BA,34215,CANÁPOLIS,D
385,BA,30872,DIAS D'ÁVILA,D
386,BA,34363,CARAÍBAS,D
387,BA,34258,CANAVIEIRAS,D
388,BA,36099,ITAJU DO COLÔNIA,D
389,BA,30759,BARRO ALTO,D
390,BA,39799,NORDESTINA,E
391,BA,39993,WANDERLEY,D
392,BA,39454,UBATÃ,D
393,BA,37052,MALHADA,D
394,BA,39047,SERRA DO RAMALHO,E
395,BA,37214,MATA DE SÃO JOÃO,D
396,BA,33456,ARATUÍPE,D
397,BA,36390,ITIRUÇU,D
398,BA,38792,SÃO FÉLIX,D
399,BA,36552,JAGUARARI,D
400,BA,35092,ENTRE RIOS,D
401,BA,37435,MUNDO NOVO,D
402,BA,37494,MUTUÍPE,D
403,BA,30732,ARATACA,D
404,BA,37591,NOVA SOURE,D
405,BA,35297,GONGOGI,D
406,BA,34070,CAIRU,D
407,BA,39977,VÁRZEA DA ROÇA,D
408,BA,38210,REMANSO,D
409,BA,34509,CATURAMA,D
410,BA,39772,MANSIDÃO,E
411,BA,33618,BARRA DO ROCHA,E
412,BA,35947,ITABELA,D
413,BA,36811,LAJEDINHO,D
414,BA,35556,IBIRAPITANGA,D
415,BA,35050,ELÍSIO MEDRADO,E
416,BA,38350,RIO DE CONTAS,D
417,BA,39870,SANTA LUZIA,D
418,BA,39055,SERRA DOURADA,D
419,BA,37354,MORRO DO CHAPÉU,D
420,BA,37656,OLIVEIRA DOS BREJINHOS,D
421,BA,39578,VALENÇA,D
422,BA,36072,ITAGIMIRIM,D
423,BA,36714,JUSSARA,D
424,BA,33995,CACULÉ,D
425,BA,34592,COARACI,D
426,BA,37737,PARAMIRIM,D
427,BA,39110,SERROLÂNDIA,D
428,BA,37176,MARCIONÍLIO SOUZA,D
429,BA,33529,BANZAÊ,D
430,BA,38130,PRESIDENTE DUTRA,D
431,BA,35432,IBICOARA,D
432,BA,38067,PONTO NOVO,D
433,BA,37230,MEDEIROS NETO,D
434,BA,36196,ITANAGRA,D
435,BA,33952,CAATIBA,D
436,BA,37877,PIATÃ,C
437,BA,33936,BUERAREMA,D
438,BA,34819,CORIBE,D
439,BA,38695,SANTA TEREZINHA,E
440,BA,37893,PILÃO ARCADO,D
441,BA,33790,BONINAL,D
442,BA,30694,JUSSARI,D
443,BA,34410,CARINHANHA,D
444,BA,37273,MILAGRES,C
445,BA,37192,MASCOTE,D
446,BA,38652,SANTANA,D
447,BA,36250,ITAPÉ,D
448,BA,39357,TREMEDAL,D
449,BA,35076,ENCRUZILHADA,D
450,BA,39039,SENTO SÉ,D
451,BA,39535,URUÇUCA,E
452,BA,33731,BOA NOVA,E
453,BA,39314,TEOLÂNDIA,D
454,BA,39233,TAPEROÁ,D
455,BA,33413,ARACI,E
456,BA,33138,ALAGOINHAS,D
457,BA,36471,ITUBERÁ,D
458,BA,37974,PIRITIBA,E
459,BA,33359,ANTÔNIO GONÇALVES,D
460,BA,37516,NAZARÉ,D
461,BA,30970,HELIÓPOLIS,D
462,BA,34991,DÁRIO MEIRA,D
463,BA,34550,CÍCERO DANTAS,D
464,BA,36510,JACOBINA,D
465,BA,35017,DOM BASÍLIO,D
466,BA,37990,PLANALTINO,D
467,BA,30716,AMÉRICA DOURADA,E
468,BA,38911,SAPEAÇU,D
469,BA,33219,AMÉLIA RODRIGUES,D
470,BA,37567,NOVA FÁTIMA,D
471,BA,38636,SANTA MARIA DA VITÓRIA,E
472,BA,34770,CORAÇÃO DE MARIA,D
473,BA,39470,UIBAÍ,D
474,BA,34479,CATOLÂNDIA,D
475,BA,34738,CONDEÚBA,D
476,BA,37850,PEDRO ALEXANDRE,D
477,BA,33871,BREJOLÂNDIA,D
478,BA,37478,MURITIBA,D
479,BA,35270,GLÓRIA,D
480,BA,36951,MACARANI,D
481,BA,37311,MONTE SANTO,D
482,BA,37397,MUCUGÊ,E
483,BA,38431,RODELAS,D
484,BA,37630,OLINDINA,D
485,BA,34835,CORONEL JOÃO SÁ,D
486,BA,39853,RAFAEL JAMBEIRO,D
487,BA,34673,CONCEIÇÃO DO COITÉ,E
488,BA,35491,SANTA RITA DE CÁSSIA,D
489,BA,34029,CAETANOS,D
490,BA,33499,BAIANÓPOLIS,D
491,BA,35319,GOVERNADOR MANGABEIRA,D
492,BA,38113,PRADO,D
493,BA,34576,CIPÓ,D
494,BA,34517,CENTRAL,D
495,BA,38415,RIO REAL,D
496,BA,35416,IBICARAÍ,D
497,BA,39756,MAETINGA,D
498,BA,39896,SÃO GABRIEL,E
